ID,ADM,cl_ih,u_r,quad,area,nofarms_07,nofarms_02,cuerdas_07,cuerdas_02,irr_farms_07,irr_farms_02,rain_mean,rain_std,elev_mean,elev_std,u,v,MUNICIPALI
25,1,1,0,2,28.22,112,147,3984,4652,7,7,69.5997,2.28243,397.3444,119.6487,174725,43546.2,COMERIO
26,3,0,1,1,56.96,277,384,4689,10923,0,8,77.859,5.05322,127.9722,114.198,80884,41804.2,MAYAGUEZ
27,4,1,0,1,66.47,1008,1498,21192,25864,15,18,80.452,2.8312,663.8165,156.099,118444,38592.9,ADJUNTAS
28,3,1,0,1,36.85,301,439,8442,9911,6,2,87.4039,5.54655,573.1647,153.9426,98509,37786.8,MARICAO
29,5,1,0,2,31.36,177,151,3768,6048,14,19,59.5743,3.1462,564.4852,116.3773,170241,33187.7,AIBONITO
30,4,1,0,1,36.52,139,246,4247,8588,4,20,66.0074,9.01842,387.8253,216.6675,148184,32854.5,VILLALBA
31,3,1,0,1,53.9,410,344,9202,12638,14,16,69.8801,9.4878,166.2322,150.5075,88316,31078.6,SAN-GERMAN
32,4,0,1,1,111.86,167,318,10265,17835,4,9,53.5879,16.5034,245.7292,260.3811,133180,25395,PONCE
33,3,0,0,1,72.35,134,178,16429,15449,28,9,44.8035,12.2767,34.6066,40.8767,76013,23477.6,CABO-ROJO
34,3,1,1,1,11.16,42,40,3266,1743,5,10,67.9919,2.46177,36.6372,32.904,80323,33650.3,HORMIGUEROS
35,3,1,0,1,35.24,126,134,6091,6138,6,14,61.399,12.4678,235.2975,180.7807,98344,27924.4,SABANA-GRANDE
36,3,0,0,1,60.23,175,160,21226,24511,63,36,39.6129,7.21077,36.307,36.7451,88074,20104.6,LAJAS
37,1,0,1,4,24.49,4,3,147,1475,1,1,68.11,4.27113,18.7452,25.3611,175497,66417.7,TOA-BAJA
38,2,0,1,3,127.02,202,207,17296,25136,70,34,63.9558,9.37145,137.2114,106.6761,126862,63788.6,ARECIBO
39,2,0,1,3,45.96,136,64,6954,11149,6,12,60.3045,5.40181,85.4949,72.2993,146334,65248.8,MANATI
40,1,0,1,4,47.51,14,12,1601,76,1,6,67.1433,5.85654,49.9545,54.8698,191694,61616.7,SAN-JUAN/RIO-PIE
41,1,0,1,4,26.65,20,26,372,1086,0,9,73.9105,2.99007,97.0443,77.6275,186063,56784.4,GUAYNABO
42,3,0,0,3,30.21,307,247,5716,3557,7,18,73.2421,3.57438,75.9763,77.6759,73995,58703.5,AGUADA
43,3,0,0,3,14.14,77,71,1837,3416,4,1,68.5777,1.88447,68.7883,63.8557,67988,55973.1,RINCON
44,2,1,0,3,66.23,541,553,18447,15690,5,7,78.7259,5.69432,383.0416,226.9909,143574,50654.3,CIALES
45,2,1,0,3,114.73,740,1241,16525,23741,17,15,80.9708,3.96817,392.2222,154.8497,123905,48687,UTUADO
46,5,1,1,2,58.61,86,130,4112,5851,4,9,72.6669,7.90125,216.2168,153.9715,192825,42165.4,CAGUAS
47,5,0,0,2,51.94,134,102,7347,10227,6,8,101.624,15.9171,194.7883,249.8604,224199,44311.8,NAGUABO
48,5,1,0,2,36.66,140,175,8623,9566,7,9,68.9769,2.6021,441.7622,62.4909,181179,37910.8,CIDRA
49,5,1,1,2,53.04,271,355,8319,16389,9,17,89.3463,9.06012,257.2188,133.5113,200700,35106.9,SAN-LORENZO
50,5,1,1,2,49.71,154,144,6064,5580,5,11,70.6733,8.40621,523.2456,135.2738,182405,30083,CAYEY
51,4,0,0,1,60.64,88,120,5896,12054,10,17,45.3589,12.5544,164.2381,206.5414,145810,24319.7,JUANA-DIAZ
52,3,0,1,1,36.52,63,43,10863,6049,23,34,31.6963,5.04316,43.2862,43.6473,100852,16821.5,GUANICA
53,1,1,0,2,62.68,621,923,16955,22242,6,20,80.9944,4.52676,684.4286,170.7322,152288,42450.4,OROCOVIS
54,5,1,0,2,33.44,226,130,5950,11236,4,8,91.5506,7.57311,210.3126,156.2405,212022,39502.1,LAS-PIEDRAS
55,5,1,1,2,26.19,56,78,6276,7784,4,8,79.9444,5.57597,141.9568,84.0521,207826,43482.1,JUNCOS
56,1,1,0,2,33.51,313,375,7367,11241,13,15,69.2823,3.31171,629.7873,101.5638,165416,40997.2,BARRANQUITAS
57,5,0,1,2,44.84,420,55,6710,5031,1,3,86.7768,5.507,54.8123,57.1868,218259,34849.4,HUMACAO
58,4,1,0,2,77.44,335,351,16768,18549,28,37,50.2138,8.77565,336.0077,194.8725,160106,29441,COAMO
59,4,0,0,1,42.37,134,203,7358,11356,7,11,48.6257,12.788,204.0508,250.4546,114483,23386,GUAYANILLA
60,4,0,0,1,44.51,149,168,2911,4295,1,8,57.3966,11.8736,296.0307,270.845,121969,25275.9,PENUELAS
61,5,0,0,2,54.63,404,230,11732,11351,7,3,83.9886,7.24005,152.982,135.1399,209175,26557,YABUCOA
62,5,0,0,2,20.69,152,57,2529,1606,2,4,70.4616,6.96705,159.3227,132.6986,206521,20734.1,MAUNABO
63,4,0,0,1,68.29,515,582,11198,15568,12,24,56.5523,13.8668,346.4744,277.3984,107327,27586.7,YAUCO
64,4,0,0,2,47.27,136,104,6083,4768,6,9,73.2298,12.9685,270.9472,204.5353,196955,22227.6,PATILLAS
65,4,0,1,2,65.25,54,89,2552,5212,6,4,55.083,14.4786,240.9537,234.0734,184073,19517.3,GUAYAMA
66,4,0,0,2,14.59,30,29,6441,2064,0,3,57.2633,7.96971,148.6119,167.1741,192278,18517.1,ARROYO
67,1,0,1,4,31.12,63,28,4204,2574,7,4,77.2948,12.483,80.4943,106.8782,233204,54007.1,FAJARDO
68,1,0,1,4,27.43,64,58,2994,2048,1,1,78.3227,16.3933,121.1942,188.5458,233372,46804.6,CEIBA
69,4,0,0,2,69.35,202,81,8518,15140,25,25,43.9544,7.05742,132.2391,147.7963,171127,20086.4,SALINAS
70,4,0,0,2,34.17,75,96,9786,10774,26,47,33.6252,2.2603,40.798,46.5487,157036,18147,SANTA-ISABEL
71,2,0,0,3,34.4,34,28,1791,2161,4,3,60.2158,7.50526,115.7572,89.2445,138982,64580.5,BARCELONETA/FLOR
72,1,0,1,4,48.59,29,24,519,835,0,2,74.4229,3.92919,107.6404,121.9057,180631,58377.1,BAYAMON/CATANO
73,1,0,1,4,53.03,49,24,1874,1453,6,13,72.8388,12.885,126.1586,189.2397,209551,59289.5,LOIZA/CANOVANAS
